"","X","date","time","Province","District","items_sold_label","Food.Item...English","source_channel","source_location","market_transport"
"1",1,"2023-04-13","10:43:49","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","wholesaler","Musanze","bicycle"
"2",2,"2023-04-13","12:13:06","Kigali","Gasabo","voka","Avocado","own_farm","Gasabo","bicycle,walk"
"3",3,"2023-04-13","12:13:06","Kigali","Gasabo","dodo","Amaranth Leaves","own_farm","Gasabo","bus,walk"
"4",4,"2023-04-14","12:57:02","Kigali","Kicukiro","inyanya","Tomato","bulk_market","Nyarungenge","moto,walk"
"5",5,"2023-04-14","13:16:07","Kigali","Gasabo","inyanya","Tomato","bulk_market","Nyarungenge","bicycle,moto,walk"
"6",6,"2023-04-17","11:56:38","Northern","Gicumbi","karoti","Carrot","wholesaler","Gicumbi","bicycle,walk"
"7",7,"2023-04-17","11:56:38","Northern","Gicumbi","inyanya","Tomato","wholesaler","Gicumbi","bicycle,moto,walk"
"8",8,"2023-04-17","12:09:19","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk"
"9",9,"2023-04-17","12:09:19","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk"
"10",10,"2023-04-17","12:15:52","Northern","Gicumbi","ibijumbaby`umweru","Sweet Potatoes White","wholesaler","Gicumbi","walk"
"11",11,"2023-04-17","12:15:52","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk"
"12",13,"2023-04-17","12:22:47","Eastern","Nyagatare","amatunda","Passionfruit","bulk_market","Kayonza","moto,walk"
"13",14,"2023-04-17","12:23:44","Northern","Gicumbi","amashu","Cabbage","bulk_market","Gicumbi","walk"
"14",15,"2023-04-17","12:23:44","Northern","Gicumbi","dodo","Amaranth Leaves","bulk_market","Gicumbi","walk"
"15",16,"2023-04-17","12:31:32","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk"
"16",17,"2023-04-17","12:31:32","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk"
"17",18,"2023-04-17","12:32:54","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk"
"18",19,"2023-04-17","12:32:54","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk"
"19",20,"2023-04-17","12:35:00","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk"
"20",21,"2023-04-17","12:41:16","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk"
"21",22,"2023-04-17","12:41:16","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk"
"22",23,"2023-04-17","12:47:08","Northern","Gicumbi","ibitoki(by`imineke","Banana Beer","wholesaler","Gicumbi","walk"
"23",24,"2023-04-17","12:50:08","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk"
