"","date","time","age","Gender","Province","District","items_sold_label","market","source_channel","source_location","produced_location","market_transport","othmarket_current","othmarket_location","dismark_transport"
"1",2023-04-13,"10:43:49",35,"female","northern","gakenke","Ibitoki (byo guteka)","gakenke","wholesaler","musanze","musanze","bicycle","no",NA,NA
"2",2023-04-13,"12:13:06",30,"female","kigali","gasabo","Voka","kimironko","own_farm","gasabo","gasabo","bicycle,walk","no",NA,NA
"3",2023-04-13,"12:13:06",30,"female","kigali","gasabo","Dodo","kimironko","own_farm","gasabo","nyamasheke","bus,walk","no",NA,NA
"4",2023-04-14,"12:57:02",46,"female","kigali","kicukiro","Inyanya","gahanga","bulk_market","nyarungenge","nyagatare","moto,walk","no",NA,NA
"5",2023-04-14,"13:16:07",57,"female","kigali","gasabo","Inyanya","kimironko","bulk_market","nyarungenge","nyagatare","bicycle,moto,walk","no",NA,NA
"6",2023-04-17,"11:56:38",22,"female","northern","gicumbi","Karoti","buyuma","wholesaler","gicumbi","gicumbi","bicycle,walk","no",NA,NA
"7",2023-04-17,"11:56:38",22,"female","northern","gicumbi","Inyanya","buyuma","wholesaler","gicumbi","nyagatare","bicycle,moto,walk","no",NA,NA
"8",2023-04-17,"12:09:19",45,"female","northern","gicumbi","Inyanya","buyuma","bulk_market","gicumbi","gicumbi,kayonza,nyagatare","walk","no",NA,NA
"9",2023-04-17,"12:09:19",45,"female","northern","gicumbi","Karoti","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"10",2023-04-17,"12:15:52",48,"female","northern","gicumbi","Ibijumba by`umweru","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"11",2023-04-17,"12:15:52",48,"female","northern","gicumbi","Imyumbati","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"12",2023-04-17,"12:22:47",45,"female","eastern","nyagatare","Imyembe","barija","bulk_market","gasabo","gasabo","moto,walk","yes","Nyagatare","car"
"13",2023-04-17,"12:22:47",45,"female","eastern","nyagatare","Amatunda","barija","bulk_market","kayonza","gicumbi","moto,walk","no","Nyagatare","car"
"14",2023-04-17,"12:23:44",25,"female","northern","gicumbi","Amashu","buyuma","bulk_market","gicumbi","gicumbi,rulindo","walk","no",NA,NA
"15",2023-04-17,"12:23:44",25,"female","northern","gicumbi","Dodo","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"16",2023-04-17,"12:31:32",40,"female","eastern","nyagatare","Karoti","barija","wholesaler","nyagatare","nyagatare","walk","no",NA,NA
"17",2023-04-17,"12:31:32",40,"female","eastern","nyagatare","Inyanya","barija","wholesaler","nyagatare","nyagatare","walk","no",NA,NA
"18",2023-04-17,"12:32:54",23,"female","northern","gicumbi","Karoti","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"19",2023-04-17,"12:32:54",23,"female","northern","gicumbi","Inyanya","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"20",2023-04-17,"12:35:00",32,"female","northern","gicumbi","Imyumbati","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"21",2023-04-17,"12:41:16",31,"female","northern","gicumbi","Karoti","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"22",2023-04-17,"12:41:16",31,"female","northern","gicumbi","Imiteja","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"23",2023-04-17,"12:47:08",30,"female","northern","gicumbi","Ibitoki (by` imineke","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"24",2023-04-17,"12:50:08",23,"female","northern","gicumbi","Imiteja","buyuma","bulk_market","gicumbi","rulindo","walk","no",NA,NA
"25",2023-04-17,"12:50:08",23,"female","northern","gicumbi","Dodo","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"26",2023-04-17,"12:54:44",22,"female","northern","gicumbi","Imyumbati","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"27",2023-04-17,"12:54:44",22,"female","northern","gicumbi","Ibitoki (byo guteka)","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"28",2023-04-17,"12:59:44",32,"female","eastern","nyagatare","Ibinyomoro","barija","bulk_market","gasabo","gasabo","moto,walk","no",NA,NA
"29",2023-04-17,"12:59:44",32,"female","eastern","nyagatare","Imyembe","barija","bulk_market","gasabo","gasabo","moto,walk","no",NA,NA
"30",2023-04-17,"13:02:03",31,"female","northern","gicumbi","Imyembe","buyuma","wholesaler","gicumbi","nyaruguru","walk","no",NA,NA
"31",2023-04-17,"13:02:03",31,"female","northern","gicumbi","Voka","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"32",2023-04-17,"13:06:00",42,"female","northern","gicumbi","Ingano","buyuma","wholesaler","gicumbi","gicumbi","moto","no",NA,NA
"33",2023-04-17,"13:06:00",42,"female","northern","gicumbi","Ibirayi","buyuma","wholesaler","gicumbi","musanze","moto","no",NA,NA
"34",2023-04-17,"13:07:34",47,"female","eastern","nyagatare","Inyanya","barija","wholesaler","nyagatare","nyagatare","moto","no",NA,NA
"35",2023-04-17,"13:07:34",47,"female","eastern","nyagatare","Karoti","barija","wholesaler","nyagatare","nyagatare","moto","no",NA,NA
"36",2023-04-17,"13:13:22",24,"female","northern","gicumbi","Inyanya","buyuma","bulk_market","gicumbi","nyagatare","walk","no",NA,NA
"37",2023-04-17,"13:13:22",24,"female","northern","gicumbi","Amashu","buyuma","neighbour_farm","gicumbi,musanze,ruhango","gicumbi,musanze,ruhango","walk","no",NA,NA
"38",2023-04-17,"13:22:28",25,"female","eastern","nyagatare","Amatunda","barija","wholesaler","kayonza","kayonza","walk","no",NA,NA
"39",2023-04-17,"13:22:28",25,"female","eastern","nyagatare","Ibinyomoro","barija","bulk_market","gasabo","gasabo","walk","no",NA,NA
"40",2023-04-17,"13:25:41",48,"female","northern","gicumbi","Ubunyobwa","buyuma","wholesaler","gicumbi","bugesera,kirehe,ngoma,nyagatare","walk","no",NA,NA
"41",2023-04-17,"13:25:41",48,"female","northern","gicumbi","Isombe","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"42",2023-04-17,"13:25:51",47,"female","northern","gicumbi","Ingano","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"43",2023-04-17,"13:25:51",47,"female","northern","gicumbi","Ibirayi","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"44",2023-04-17,"13:26:35",47,"female","eastern","nyagatare","Inyanya","barija","cooperative","nyagatare","nyagatare","walk","no",NA,NA
"45",2023-04-17,"13:26:35",47,"female","eastern","nyagatare","Karoti","barija","wholesaler","nyagatare","nyagatare","walk","no",NA,NA
"46",2023-04-17,"13:44:14",32,"female","northern","gicumbi","Urusenda","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"47",2023-04-17,"13:44:14",32,"female","northern","gicumbi","Imiteja","buyuma","bulk_market","gicumbi","gicumbi","walk","no",NA,NA
"48",2023-04-17,"13:53:27",41,"female","northern","gicumbi","Amashaza","buyuma","bulk_market","burera,gicumbi,musanze","burera,gicumbi,musanze","walk","no",NA,NA
"49",2023-04-17,"14:03:54",31,"female","northern","gicumbi","Inyanya","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"50",2023-04-17,"14:03:54",31,"female","northern","gicumbi","Ibitunguru","buyuma","wholesaler","gicumbi","gicumbi","walk","no",NA,NA
"51",2023-04-17,"14:04:07",46,"female","northern","gicumbi","Inyanya","buyuma","bulk_market","gicumbi","nyagatare","moto,walk","no",NA,NA
"52",2023-04-17,"14:04:07",46,"female","northern","gicumbi","Ubunyobwa","buyuma","wholesaler","gasabo","nyagatare","moto,walk","no",NA,NA
"53",2023-04-17,"14:07:29",35,"female","eastern","nyagatare","Ibitunguru","barija","wholesaler","nyagatare","musanze,rubavu","walk","no",NA,NA
"54",2023-04-17,"14:07:29",35,"female","eastern","nyagatare","Imyumbati","barija","neighbour_farm","nyagatare","nyagatare","walk","no",NA,NA
"55",2023-04-17,"14:08:45",32,"female","northern","gicumbi","Inyanya","buyuma","wholesaler","gicumbi","gicumbi,musanze","moto","no",NA,NA
"56",2023-04-17,"14:08:45",32,"female","northern","gicumbi","Ibitunguru","buyuma","wholesaler","gicumbi","musanze","moto","no",NA,NA
"57",2023-04-17,"14:13:36",39,"female","northern","gicumbi","Ibitunguru","buyuma","wholesaler","gicumbi","gicumbi,musanze","moto","no",NA,NA
"58",2023-04-17,"14:15:08",42,"female","northern","gicumbi","Biringanya","buyuma","bulk_market","gicumbi,rulindo","gicumbi,rulindo","walk","no",NA,NA
"59",2023-04-17,"14:15:08",42,"female","northern","gicumbi","Ipapayi","buyuma","bulk_market","gicumbi,rulindo","gicumbi,rulindo","walk","no",NA,NA
