"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2024-01-04,"23:36:29","Southern","Huye","ibitoki","Banana Cooking","neighbour_farm","Huye","bicycle"
"2",2024-01-04,"23:19:59","Southern","Huye","avoka","Avocado","neighbour_farm","Huye","bicycle"
"3",2024-01-04,"22:42:03","Eastern","Ngoma","amasaka","Sorghum","neighbour_farm","Ngoma","bicycle"
"4",2024-01-04,"22:37:55","Eastern","Ngoma","ibigori","Maize","neighbour_farm","Ngoma","bicycle"
"5",2024-01-04,"22:31:07","Eastern","Ngoma","ibishyimbo byumye","Field Beans","neighbour_farm","Ngoma","walk"
"6",2024-01-04,"22:26:04","Eastern","Kirehe","amateke ya taro","Taro","neighbour_farm","Kirehe","bicycle"
"7",2024-01-04,"22:23:23","Southern","Huye","amashu","Cabbage","neighbour_farm","Huye","bicycle"
"8",2024-01-04,"22:16:23","Eastern","Rwamagana","ibinyomoro","Tree Tomato","neighbour_farm","Rwamagana","walk"
"9",2024-01-04,"22:12:13","Eastern","Rwamagana","amatunda","Passionfruit","neighbour_farm","Rwamagana","walk"
"10",2024-01-04,"22:06:15","Southern","Kamonyi","ibinyomoro","Tree Tomato","neighbour_farm","Kamonyi","bicycle"
"11",2024-01-04,"22:06:04","Eastern","Rwamagana","amapera","Guava","neighbour_farm","Rwamagana","walk"
"13",2024-01-04,"21:59:53","Eastern","Kirehe","karoti","Carrot","neighbour_farm","Kirehe","moto"
"14",2024-01-04,"21:59:31","Southern","Kamonyi","imyembe","Mango","neighbour_farm","Kamonyi","bicycle"
"15",2024-01-04,"21:49:15","Western","Rutsiro","ibisheke","Sugarcane","wholesaler","Rutsiro","walk"
"16",2024-01-04,"21:38:13","Eastern","Bugesera","ibihaza","Pumpkin","wholesaler","Bugesera","bicycle"
"17",2024-01-04,"21:38:01","Southern","Ruhango","ibihaza","Pumpkin","wholesaler","Ruhango","bicycle"
"18",2024-01-04,"21:35:45","Western","Nyamasheke","imboga za dodo","Amaranth Leaves","own_farm","Nyamasheke","bicycle"
"19",2024-01-04,"21:22:26","Kigali","Kicukiro","ibitunguru","Onion","wholesaler","Kicukiro","bicycle"
"20",2024-01-04,"21:14:56","Western","Karongi","ibitunguru","Onion","wholesaler","Don't Know","walk"
"21",2024-01-04,"21:10:44","Kigali","Nyarugenge","ibitoki","Banana Cooking","cooperative","Rwamagana","truck"
"22",2024-01-04,"21:09:01","Western","Karongi","inyanya","Tomato","neighbour_farm","Karongi","walk"
"23",2024-01-04,"21:07:40","Eastern","Kirehe","ibishyimbo byumye","Field Beans","neighbour_farm","Kirehe","bicycle"
"24",2024-01-04,"21:06:46","Western","Nyamasheke","amasaka","Sorghum","neighbour_farm","Nyamasheke","bicycle"
"26",2024-01-04,"21:03:37","Southern","Muhanga","imiteja","Faba Beans","neighbour_farm","Don't Know","walk"
"27",2024-01-04,"21:03:26","Eastern","Kirehe","ingano za sayiri","Barley","wholesaler","Kirehe","bicycle"
"28",2024-01-04,"21:03:18","Western","Karongi","karoti","Carrot","wholesaler","Rubavu","car"
"31",2024-01-04,"20:48:41","Northern","Gakenke","ibitunguru","Onion","wholesaler","Gakenke","car"
"33",2024-01-04,"20:28:36","Northern","Burera","ibitunguru","Onion","wholesaler","Don't Know","moto"
"34",2024-01-04,"20:27:46","Southern","Ruhango","ibigori","Maize","own_farm","Ruhango","bicycle"
