"X","date","time","Province","District","items_sold_label","Food.Item...English","source_channel","source_location","market_transport","items_sold"
1,"2023-04-13","10:43:49","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","wholesaler","Musanze","bicycle","ibitoki(byoguteka)"
2,"2023-04-13","12:13:06","Kigali","Gasabo","voka","Avocado","own_farm","Gasabo","bicycle,walk","voka"
3,"2023-04-13","12:13:06","Kigali","Gasabo","dodo","Amaranth Leaves","own_farm","Gasabo","bus,walk","dodo"
4,"2023-04-14","12:57:02","Kigali","Kicukiro","inyanya","Tomato","bulk_market","Nyarungenge","moto,walk","inyanya"
5,"2023-04-14","13:16:07","Kigali","Gasabo","inyanya","Tomato","bulk_market","Nyarungenge","bicycle,moto,walk","inyanya"
6,"2023-04-17","11:56:38","Northern","Gicumbi","karoti","Carrot","wholesaler","Gicumbi","bicycle,walk","karoti"
7,"2023-04-17","11:56:38","Northern","Gicumbi","inyanya","Tomato","wholesaler","Gicumbi","bicycle,moto,walk","inyanya"
8,"2023-04-17","12:09:19","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk","inyanya"
9,"2023-04-17","12:09:19","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk","karoti"
10,"2023-04-17","12:15:52","Northern","Gicumbi","ibijumbaby`umweru","Sweet Potatoes White","wholesaler","Gicumbi","walk","ibijumbaby`umweru"
11,"2023-04-17","12:15:52","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk","imyumbati"
13,"2023-04-17","12:22:47","Eastern","Nyagatare","amatunda","Passionfruit","bulk_market","Kayonza","moto,walk","amatunda"
14,"2023-04-17","12:23:44","Northern","Gicumbi","amashu","Cabbage","bulk_market","Gicumbi","walk","amashu"
15,"2023-04-17","12:23:44","Northern","Gicumbi","dodo","Amaranth Leaves","bulk_market","Gicumbi","walk","dodo"
16,"2023-04-17","12:31:32","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk","karoti"
17,"2023-04-17","12:31:32","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk","inyanya"
18,"2023-04-17","12:32:54","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk","karoti"
19,"2023-04-17","12:32:54","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk","inyanya"
20,"2023-04-17","12:35:00","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk","imyumbati"
21,"2023-04-17","12:41:16","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk","karoti"
22,"2023-04-17","12:41:16","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk","imiteja"
23,"2023-04-17","12:47:08","Northern","Gicumbi","ibitoki(by`imineke","Banana Beer","wholesaler","Gicumbi","walk","ibitoki(by`imineke"
24,"2023-04-17","12:50:08","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk","imiteja"
25,"2023-04-17","12:50:08","Northern","Gicumbi","dodo","Amaranth Leaves","bulk_market","Gicumbi","walk","dodo"
26,"2023-04-17","12:54:44","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk","imyumbati"
27,"2023-04-17","12:54:44","Northern","Gicumbi","ibitoki(byoguteka)","Banana Cooking","wholesaler","Gicumbi","walk","ibitoki(byoguteka)"
28,"2023-04-17","12:59:44","Eastern","Nyagatare","ibinyomoro","Tree Tomato","bulk_market","Gasabo","moto,walk","ibinyomoro"
31,"2023-04-17","13:02:03","Northern","Gicumbi","voka","Avocado","bulk_market","Gicumbi","walk","voka"
32,"2023-04-17","13:06:00","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","moto","ingano"
33,"2023-04-17","13:06:00","Northern","Gicumbi","ibirayi","Potato","wholesaler","Gicumbi","moto","ibirayi"
34,"2023-04-17","13:07:34","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","moto","inyanya"
35,"2023-04-17","13:07:34","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","moto","karoti"
36,"2023-04-17","13:13:22","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk","inyanya"
37,"2023-04-17","13:13:22","Northern","Gicumbi","amashu","Cabbage","neighbour_farm","Gicumbi,musanze,ruhango","walk","amashu"
38,"2023-04-17","13:22:28","Eastern","Nyagatare","amatunda","Passionfruit","wholesaler","Kayonza","walk","amatunda"
39,"2023-04-17","13:22:28","Eastern","Nyagatare","ibinyomoro","Tree Tomato","bulk_market","Gasabo","walk","ibinyomoro"
40,"2023-04-17","13:25:41","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk","ubunyobwa"
41,"2023-04-17","13:25:41","Northern","Gicumbi","isombe","Cassava Leaves","wholesaler","Gicumbi","walk","isombe"
42,"2023-04-17","13:25:51","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","walk","ingano"
43,"2023-04-17","13:25:51","Northern","Gicumbi","ibirayi","Potato","wholesaler","Gicumbi","walk","ibirayi"
44,"2023-04-17","13:26:35","Eastern","Nyagatare","inyanya","Tomato","cooperative","Nyagatare","walk","inyanya"
45,"2023-04-17","13:26:35","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk","karoti"
46,"2023-04-17","13:44:14","Northern","Gicumbi","urusenda","Chilli","wholesaler","Gicumbi","walk","urusenda"
47,"2023-04-17","13:44:14","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk","imiteja"
48,"2023-04-17","13:53:27","Northern","Gicumbi","amashaza","Green Peas","bulk_market","Burera,gicumbi,musanze","walk","amashaza"
49,"2023-04-17","14:03:54","Northern","Gicumbi","inyanya","Tomato","wholesaler","Gicumbi","walk","inyanya"
50,"2023-04-17","14:03:54","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","walk","ibitunguru"
51,"2023-04-17","14:04:07","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","moto,walk","inyanya"
52,"2023-04-17","14:04:07","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gasabo","moto,walk","ubunyobwa"
53,"2023-04-17","14:07:29","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk","ibitunguru"
54,"2023-04-17","14:07:29","Eastern","Nyagatare","imyumbati","Cassava Root","neighbour_farm","Nyagatare","walk","imyumbati"
